"date","bn","id","silky","name","longname","stat_entries","stat_leaf_bytes","leaf"
"2020-11-03T10:59:15","0","00","0","[FREE_DBI]","Free DBI","2","4096","leaf"
"2020-11-03T10:59:15","0","01","0","[MAIN_DBI]","Main DBI","39","4096","leaf"
"2020-11-03T10:59:15","0","02","1","ACS","AccountChangeSetBucket","0","0","leaf"
"2020-11-03T10:59:15","0","03","1","B","BloomBitsPrefix","0","0","leaf"
"2020-11-03T10:59:15","0","04","1","CODE","CodeBucket","0","0","leaf"
"2020-11-03T10:59:15","0","05","1","CST2","CurrentStateBucket","0","0","leaf"
"2020-11-03T10:59:15","0","06","1","DBINFO","DatabaseInfoBucket","4","4096","leaf"
"2020-11-03T10:59:15","0","07","1","DatabaseVersion","databaseVerisionKey","1","4096","leaf"
"2020-11-03T10:59:15","0","08","1","H","HeaderNumberPrefix","1","4096","leaf"
"2020-11-03T10:59:15","0","09","1","LastBlock","HeadBlockKey","1","4096","leaf"
"2020-11-03T10:59:15","0","10","1","LastFast","HeadFastBlockKey","1","4096","leaf"
"2020-11-03T10:59:15","0","11","1","LastHeader","HeadHeaderKey","1","4096","leaf"
"2020-11-03T10:59:15","0","12","1","PLAIN-ACS","PlainAccountChangeSetBucket","1","4096","leaf"
"2020-11-03T10:59:15","0","13","1","PLAIN-CST2","PlainStateBucket","8893","380928","leaf"
"2020-11-03T10:59:15","0","14","1","PLAIN-SCS","PlainStorageChangeSetBucket","0","0","leaf"
"2020-11-03T10:59:15","0","15","1","PLAIN-contractCode","PlainContractCodeBucket","0","0","leaf"
"2020-11-03T10:59:15","0","16","1","SCS","StorageChangeSetBucket","0","0","leaf"
"2020-11-03T10:59:15","0","17","1","SNINFO","SnapshotInfoBucket","0","0","leaf"
"2020-11-03T10:59:15","0","18","1","SSP2","SyncStageProgress","3","4096","leaf"
"2020-11-03T10:59:15","0","19","1","SSU2","SyncStageUnwind","3","4096","leaf"
"2020-11-03T10:59:15","0","20","1","TrieSync","FastTrieProgressKey","0","0","leaf"
"2020-11-03T10:59:15","0","21","1","b","BlockBodyPrefix","1","4096","leaf"
"2020-11-03T10:59:15","0","22","1","call_from_index","CallFromIndex","0","0","leaf"
"2020-11-03T10:59:15","0","23","1","call_to_index","CallToIndex","0","0","leaf"
"2020-11-03T10:59:15","0","24","1","clique-","CliqueBucket","0","0","leaf"
"2020-11-03T10:59:15","0","25","1","contractCode","ContractCodeBucket","0","0","leaf"
"2020-11-03T10:59:15","0","26","1","ethereum-config-","ConfigPrefix","1","4096","leaf"
"2020-11-03T10:59:15","0","27","1","h","HeaderPrefix","3","4096","leaf"
"2020-11-03T10:59:15","0","28","1","hAT","AccountHistoryBucket","8893","450560","leaf"
"2020-11-03T10:59:15","0","29","1","hST","StorageHistoryBucket","0","0","leaf"
"2020-11-03T10:59:15","0","30","1","iB","BloomBitsIndexprefix","0","0","leaf"
"2020-11-03T10:59:15","0","31","1","iTh2","IntermediateTrieHashBucket","0","0","leaf"
"2020-11-03T10:59:15","0","32","1","incarnationMap","IncarnationMapBucket","0","0","leaf"
"2020-11-03T10:59:15","0","33","1","l","TxLookupPrefix","0","0","leaf"
"2020-11-03T10:59:15","0","34","1","log","Log","0","0","leaf"
"2020-11-03T10:59:15","0","35","1","log_address_index","LogAddressIndex","0","0","leaf"
"2020-11-03T10:59:15","0","36","1","log_topic_index","LogTopicIndex","0","0","leaf"
"2020-11-03T10:59:15","0","37","1","migrations","Migrations","11","4096","leaf"
"2020-11-03T10:59:15","0","38","1","r","BlockReceiptsPrefix","1","4096","leaf"
"2020-11-03T10:59:15","0","39","1","secure-key-","PreImagePrefix","0","0","leaf"
"2020-11-03T10:59:15","0","40","1","txSenders","Senders","0","0","leaf"
"2020-11-03T11:04:15","0","00","0","[FREE_DBI]","Free DBI","2","4096","leaf"
"2020-11-03T11:04:16","0","01","0","[MAIN_DBI]","Main DBI","39","4096","leaf"
"2020-11-03T11:04:16","0","02","1","ACS","AccountChangeSetBucket","0","0","leaf"
"2020-11-03T11:04:16","0","03","1","B","BloomBitsPrefix","0","0","leaf"
"2020-11-03T11:04:16","0","04","1","CODE","CodeBucket","0","0","leaf"
"2020-11-03T11:04:16","0","05","1","CST2","CurrentStateBucket","0","0","leaf"
"2020-11-03T11:04:16","0","06","1","DBINFO","DatabaseInfoBucket","4","4096","leaf"
"2020-11-03T11:04:16","0","07","1","DatabaseVersion","databaseVerisionKey","1","4096","leaf"
"2020-11-03T11:04:16","0","08","1","H","HeaderNumberPrefix","277","16384","leaf"
"2020-11-03T11:04:16","0","09","1","LastBlock","HeadBlockKey","1","4096","leaf"
"2020-11-03T11:04:16","0","10","1","LastFast","HeadFastBlockKey","1","4096","leaf"
"2020-11-03T11:04:16","0","11","1","LastHeader","HeadHeaderKey","1","4096","leaf"
"2020-11-03T11:04:16","0","12","1","PLAIN-ACS","PlainAccountChangeSetBucket","1","4096","leaf"
"2020-11-03T11:04:16","0","13","1","PLAIN-CST2","PlainStateBucket","8893","380928","leaf"
"2020-11-03T11:04:16","0","14","1","PLAIN-SCS","PlainStorageChangeSetBucket","0","0","leaf"
"2020-11-03T11:04:16","0","15","1","PLAIN-contractCode","PlainContractCodeBucket","0","0","leaf"
"2020-11-03T11:04:16","0","16","1","SCS","StorageChangeSetBucket","0","0","leaf"
"2020-11-03T11:04:16","0","17","1","SNINFO","SnapshotInfoBucket","0","0","leaf"
"2020-11-03T11:04:16","0","18","1","SSP2","SyncStageProgress","4","4096","leaf"
"2020-11-03T11:04:16","0","19","1","SSU2","SyncStageUnwind","3","4096","leaf"
